doc_id,ticker,date,publisher,headline
a1ce34bad06deff37d90a02f853786b496563eddb84424a8ba062b2cadeeaca9,GOOGL,2020-06-04,Benzinga Newsdesk,UPDATE: Chinese Government-Linked Hackers Recently Attempted To Break Into Presidential Candidate Joe Biden
2d3f778e944ec72c4af960ab038e5ce4bb48b113faa0a00a791cd82ff9a648ea,GOOGL,2020-06-04,Benzinga Newsdesk,Iranian Government-Linked Hackers Recently Attempted To break Into U.S. President Trump's Campaign Staff Email Accounts
528989f8f8028c2a87bd3d5e4bea095e8e1aac91d1a3f6d093a6d626f6567a83,GOOGL,2020-06-05,Luke J Jacobi,CNBC Publishes Article Titled: States are Leaning Toward a Push to Break Up Google's Ad Tech Business
e9666d9aa3fc1d89be4557f41d22034669fd3085bc79743875acb29e1d470722,GOOGL,2020-06-05,Spencer Israel,Congress Is Stepping Up Its Efforts To Kill Payday Loans
0315621b4895e7d322a3d9f247cab93e14754e16a793103250a9023ea17886a5,GOOGL,2020-06-05,Neer Varshney,Twitter Takes Down Trump Campaign's Video Tribute To George Floyd For Violating Copyright
80559284f99710f28782762020a43adcb9e227d01337dea7d43e7ee879ebb497,GOOGL,2020-06-07,Renato Capelj,'A New Business Cycle': Stock Market Update For The Week Ahead
479b66e58530b6431e401269879981ddb3d1aef85ea13c3f2fd8a04b525b0837,GOOGL,2020-06-08,Benzinga Newsdesk,"Starting This Week, Testing Center Alerts Will Be Available On Google Maps In U.S.; New Google Maps Features Alert You Of Important COVID-19 Information And Help User Avoid Crowds On Public Transit"
80a46bc9fff8b70f51e4f1cd2b866ad74173902addcc3617cd5b4bad12a4cf51,GOOGL,2020-06-09,Shivdeep Dhaliwal,"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers"
2b0402ee28ea615b2cb8c82e44b6bcec9e513b2db69b337879f33c15f59f02c3,GOOGL,2020-06-10,Shanthi Rexaline,"Facebook, Snap Analyst Projects Q2 Revenue Upside For Social Media Stocks"
29903dcff1f8e99f0de9f253c6583f6d72b0b1989ea15dcf00eed0e618285f92,GOOGL,2020-06-10,Shivdeep Dhaliwal,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture"
c86ac193a8c76cc94b6f00ab10431b9277d0ba60f8ae03a9c6f62d557159b586,NFLX,2020-06-02,Neer Varshney,Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case
9ae94607540713e7dfd84d8cfae44e274bd80b88cf855abb02213d9836e5e704,NFLX,2020-06-03,Shivdeep Dhaliwal,"Stocks Keep Rallying Even During Protests Because 'Nobody Is Investing To Make The World A Better Place,' Analysts Say"
28484a8386e8d4bc2cace3068b4b4e8408fd14d6f0f2879eca4a0e3b11b0edd4,NFLX,2020-06-04,Elizabeth Balboa,Citron On Genius Brands: 'The Lowest Form Of Retail Investor'
83e5ccb2974e24e5a904ef6f34ed886bb8c0c162b3acaeced5e1af88c8bbca75,NFLX,2020-06-04,Neer Varshney,"Why Genius Brands Is On A Massive Rally, Adding Nearly 2500% Value In A Month"
019e02ce6353a4960e7f7f97211245575152a5357757d308c4eb5c1567b9bd7d,NFLX,2020-06-06,Javier Hasse,"ESPAÑOL • Notas de la Semana: Arrestos por Marihuana con Berner, Twista y Chris Webby, Leather Storrs, Trump, THCP, y Más"
73db9827c269449618eba7151d6ff5ad4d2f3492a018f366e198d1dfaabf06f7,NFLX,2020-06-08,Shanthi Rexaline,Munster Says Under-The-Radar Apple TV+ Will Contribute 20% Of Cupertino's Net Income Growth
5f83beddc49079e82d7f676347e16f25bdcf98873cbc503e98a8333c54f8a9e7,NFLX,2020-06-09,Wayne Duggan,Netflix Option Trader Makes $73.6M Bet On 5% Upside
4f44f86a366dc3ed2319a6e8743ce540a8a9192f5fcd98899c4ff65580dd338d,NFLX,2020-06-09,Benzinga Newsdesk,Netflix shares are trading higher. The stock sold off over the past month amid US business reopenings and appears to be rebounding.
d7700b2ab220188b7571c171899153cdbe78e4190f08f378c794957d2ae00da4,NFLX,2020-06-10,JJ Kinahan,As Expected: Fed Keeps Rates Unchanged and Forecasts Years Of Dovish Policy
99458ca0c51ce1b12f1821bc48eb49a5e0fdfe307cbda7addbed5d11211265ef,NFLX,2020-06-10,Benzinga Newsdesk,"Hearing JP Morgan Reiterates Overweight Rating And $535 Price Target On Netflix, Saying Daily User Growth Remains Elevated & Stable For About 6 Weeks And Download Growth Remains Elevated From Pre-pandemic Levels; Unconfirmed"
9bb541790aa6c527474dcae70d41fa1249531e4f9f2ee9951c8d6a84048e9350,NVDA,2020-05-31,Charles Gross,Semiconductor Industry to Lobby for Billions to Boost U.S. Manufacturing
c669c243cc2ba57c4cfc9e126838206d59df984cb0a5443cf0d028664aa78764,NVDA,2020-06-02,Shanthi Rexaline,Why BofA Recommends Buying GPU Plays AMD and Nvidia
4dcfec7ae9d4f012a862fe058af29690149a58ef2e220fb3dd81cfa5c9ad4e47,NVDA,2020-06-02,Craig Jones,"Cramer Weighs In On Ciena, Harley-Davidson And More"
79b0e19656128c51a65a6e0d7bdf9cbe120a9fb49d27f7c449d43347106dedb8,NVDA,2020-06-08,Benzinga Insights,Afternoon Market Stats in 5 Minutes
672827dbb177e549bb741c2ec17e6aa4fb04893198b5be9c67486ab50836be6f,NVDA,2020-06-08,Benzinga Newsdesk,Shares of some technology companies are trading lower despite market strength. The sector has performed well this year to date and appears to be giving back some gains following run up.
5e1fd2756770017fd9db03b8d01147e4156616b4bb5297b28bff816b96a76356,NVDA,2020-06-08,Benzinga Insights,Morning Market Stats in 5 Minutes
10cd0d51d86547352c7ac8882a993a31b12f70f111d4474cef6a82ca32bb9985,NVDA,2020-06-09,Benzinga Newsdesk,Shares of several technology companies are trading higher despite market weakness. The sector recently experienced some welling and appears to be rebounding following dip.
bcd91cb3e0ceca77063e1dd20f087536b8adbb5b200153a6320ce0865b06ac8b,NVDA,2020-06-10,Benzinga Newsdesk,Shares of several technology companies are trading higher on continued volatility despite market weakness. The sector sold off recently as other sectors gained amid US economic reopening and appears to be rebounding.
